Ancient Greek Verse Data,,,,,,,,,,,,,,,,,,,,,,,,,
Data: https://github.com/timgianitsos/tesserae/tree/master/texts/grc,,Project: https://www.qcrit.org,Author: Tim Gianitsos (tgianitsos@yahoo.com),Repo (Private): https://github.com/jdexter476/ProseVerseClassification.git,Code commit: 4885e29884e47634bf60aa238a0b62b2166db3a3,Corpus commit: dcfed9d7d6909c46cdfa0d1a9b90e33c1612b944,Note: Frequencies are per-character,,,,,,,,,,,,,,,,,,
apollonius.argonautica.part.3.tess,epic,0.00407627,0.00920597,0.00087022,0.00239691,0.03196898,0.00254958,0.00172516,0.00169265,0.06621005,0.00519076,0.00354193,0.00090075,0,0.00241218,0.00458008,0.00228311,0.00091602,0.0002748,39.8591549,149.545662,0.15233415,2.35159817,0.16461916,7518.91915
apollonius.argonautica.part.4.tess,epic,0.00338409,0.00523439,0.00146076,0.0012173,0.02947084,0.00200855,0.00147293,0.0015021,0.03607214,0.00501528,0.00262937,0.00049909,0,0.00262937,0.00304325,0.00801603,0.0007669,7.30E-05,40.8793103,164.627255,0.1995842,2.33667335,0.23908524,8797.01537
aristophanes.acharnians.tess,drama,0.00121637,0.00593503,0.00077596,0.00241176,0.0242015,0.01174423,0.00278925,0.00254995,0.26142132,0.00343938,0.0233836,0.00213913,0.00127928,0.0023069,0.00209718,0.0964467,0.00270537,0.00025166,27.2553191,60.5114213,0.0652921,0.58121827,0.06872852,3718.54429
aristophanes.birds.tess,drama,0.00128927,0.00786454,0.00067328,0.00237799,0.02664489,0.01279241,0.00406836,0.00383335,0.31797235,0.00458407,0.02701735,0.00184795,0.00050138,0.00279342,0.00194823,0.05806452,0.00223473,0.00068761,34.3943662,64.3382488,0.07577808,0.70506912,0.0811908,4532.54826
aristophanes.clouds.tess,drama,0.00155339,0.00933617,0.00112541,0.00221912,0.02911806,0.014456,0.00290071,0.00244585,0.30287474,0.00297996,0.02166815,0.00310677,0.00144243,0.00318603,0.00294826,0.08316222,0.00261539,0.00085595,30.5949367,64.7720739,0.0915805,0.66427105,0.10339734,4476.4039
aristophanes.ecclesiazusae.tess,drama,0.00163047,0.0081926,0.00148956,0.00225447,0.02876467,0.01471447,0.00324081,0.00326495,0.27386935,0.00370378,0.02415508,0.00324081,0.00122788,0.00479076,0.00503231,0.05904523,0.0024759,0.00060388,29.3035714,62.410804,0.078125,0.77889447,0.078125,3178.9129
aristophanes.frogs.tess,drama,0.00078376,0.00717061,0.00076709,0.0024847,0.03263462,0.01347408,0.00326846,0.00294802,0.26891616,0.0039355,0.01730952,0.00228459,0.00168426,0.00428569,0.00411893,0.0603272,0.0020011,0.00010006,38.173913,61.3159509,0.0687237,0.73824131,0.0799439,4546.29179
aristophanes.knights.tess,drama,0.0012372,0.0109114,0.00096227,0.00324765,0.03349027,0.01299058,0.00171833,0.00159663,0.21901324,0.0032992,0.02855866,0.00323046,0.00171833,0.00427864,0.0029899,0.10589651,0.00252595,0.0007217,36.8219178,70.0312876,0.09582689,0.75330927,0.10200927,4565.99902
aristophanes.lysistrata.tess,drama,0.00038678,0.00643988,0.00100563,0.00388714,0.02678451,0.01384672,0.00355837,0.00370133,0.2502924,0.00348102,0.0317933,0.00276548,0.00117968,0.00322961,0.00251407,0.11695906,0.00319093,0.00046414,32.8909091,60.4783626,0.05984252,0.75789474,0.07244094,3336.42731
aristophanes.peace.tess,drama,0.00152718,0.00902947,0.00047724,0.00229078,0.02808109,0.01448916,0.00337889,0.00338938,0.24108241,0.00305437,0.02241142,0.00284438,0.00062996,0.00446701,0.00337889,0.1402214,0.00360797,0.00068723,35.952381,64.4329643,0.07491857,0.66543665,0.08306189,4323.01549
aristophanes.plutus.tess,drama,0.0010838,0.00983162,0.00220631,0.00332882,0.03030772,0.01437972,0.00392878,0.00392621,0.27532777,0.00534159,0.02891426,0.00191601,0.00100639,0.00344494,0.00251597,0.06674613,0.00371589,0.00046449,29.8405797,61.5852205,0.09046053,0.76877235,0.09210526,2792.41199
aristophanes.thesmophoriazusae.tess,drama,0.00119653,0.00873894,0.00151703,0.00224349,0.02717833,0.01527712,0.00399556,0.00397163,0.28657074,0.00410239,0.02685783,0.00247853,0.00198709,0.00237169,0.00309816,0.0911271,0.00275629,0.0001282,35.5531915,56.117506,0.07082631,0.62110312,0.07419899,3692.55933
aristophanes.wasps.tess,drama,0.00083666,0.01053578,0.00071271,0.00272691,0.02771838,0.01558675,0.00371851,0.00367153,0.21420644,0.00278888,0.02479006,0.00246351,0.00221561,0.00568622,0.00382697,0.09100999,0.00339314,0.00055778,34.4492754,71.6337403,0.08368794,0.68590455,0.08652482,4458.38528
bacchylides.dithyrambs.tess,miscellaneous,0,0.00080101,0,0.0011443,0.02139833,0.00354732,0.00102987,0.0007352,0.19512195,0.00183087,0.00423389,0,0,0.0069802,0.00537819,0.04878049,0,0,41.4,213.146341,0.24242424,2.325,0.24242424,28055.0518
bacchylides.epinicians.tess,miscellaneous,0.00080349,0.00026783,0,0.00103306,0.02054637,0.00137741,0.00256351,0.00252038,0.07619048,0.00198959,0.00252525,0.00019131,0,0.00206612,0.00260178,0.1047619,0.00034435,0,55.7575758,248.914286,0.25773196,3.00961538,0.34020619,69689.4879
bion_of_phlossa.epitaphius.tess,miscellaneous,0.0012848,0.00428266,0.00107066,0,0.0391863,0.0012848,0,0,0.05,0.00428266,0.00792291,0,0,0.00235546,0.00235546,0.025,0.00385439,0,28.1818182,116.75,0.13513514,0.8,0.2972973,8857.9375
bion_of_phlossa.epithalamium.tess,miscellaneous,0,0,0,0,0.03723764,0,0.00203114,0.00232198,0.2,0.00541638,0.01218687,0.00812458,0,0,0,0.1,0,0,0,147.7,0,0.88888889,0,7199.41
bion_of_phlossa.fragmenta.tess,miscellaneous,0.00251166,0.00753498,0,0.00287047,0.03803373,0.00627915,0.00233226,0.00294184,0.26086957,0.00430571,0.00950843,0.00197345,0,0,0.00430571,0.04347826,0.00484392,0,26.6666667,121.173913,0.09090909,0.69565217,0.09090909,9119.01323
callimachus.epigrams.tess,miscellaneous,0.00158441,0.00285194,0,0.00340648,0.02606353,0.00998178,0.00293116,0.00243627,0.14516129,0.00602076,0.01386358,0,0,0.00396102,0.00087143,0.03225806,0.00213895,0,41.85,101.798387,0.15238095,0.97580645,0.18095238,3895.48355
callimachus.hymns.tess,miscellaneous,0.00253894,0.00439277,0.00056421,0.00046346,0.03886997,0.00360691,0.00181353,0.00184823,0.10559006,0.0063675,0.00695186,0.00147097,0,0.00263969,0.00455397,0.05279503,0.00139037,0,41.4193548,154.121118,0.29473684,2.22670807,0.41754386,15493.74
colluthus.rape_of_helen.tess,epic,0,0.00272511,0.00056773,0.00164642,0.035767,0.00107869,0.00119223,0.00134762,0.18110236,0.00590439,0.0044283,0.00028387,0,0.00107869,0.00158964,0.00787402,0.0008516,0,61.4545455,138.692913,0.06730769,1.20472441,0.08653846,11428.0553
euripides.alcestis.tess,drama,0.00272305,0.00542243,0.00281777,0.00269937,0.02936162,0.01247869,0.00232052,0.00191267,0.20268007,0.00397803,0.02086096,0.00028414,0,0.00250995,0.00243891,0.05862647,0.00206005,0.00042622,38.852459,70.7286432,0.1006424,0.97444634,0.10920771,3308.18432
euripides.andromache.tess,drama,0.00232621,0.00446382,0.00138315,0.00251483,0.02514827,0.01211308,0.00182325,0.00168286,0.26510721,0.00461052,0.02078924,0.00046105,0.00037722,0.00247291,0.0034998,0.10136452,0.00314353,0.00012574,38.8196721,93.0155945,0.13172043,1.19883041,0.15322581,4847.49293
euripides.bacchae.tess,drama,0.00182131,0.0052838,0.00148107,0.00072052,0.02181571,0.00900648,0.00170122,0.00135324,0.22340426,0.00392282,0.01475062,0.00066048,0.00036026,0.0016612,0.00280202,0.06914894,0.00378272,0.00096069,35.5081967,88.5886525,0.22146119,1.05319149,0.26712329,6102.46554
euripides.cyclops.tess,drama,0.00198123,0.00519607,0.00056073,0.00198123,0.02067212,0.0104669,0.00201862,0.00220751,0.27363184,0.00314007,0.01712086,0.00089716,0,0.00314007,0.00381294,0.06467662,0.00414938,0,34,66.5447761,0.09246575,0.83333333,0.09589041,3552.45695
euripides.electra.tess,drama,0.00116377,0.00437417,0.00148481,0.0028091,0.02156989,0.01111602,0.00244793,0.00249141,0.26489028,0.00513664,0.01685461,0.0004615,0,0.00214696,0.00212689,0.08934169,0.00288936,0.00072234,34.6190476,78.1159875,0.14072495,1.06269592,0.15778252,4254.20598
euripides.hecuba.tess,drama,0.00197381,0.00307745,0.00123098,0.00271664,0.02353715,0.01120615,0.00282276,0.00264966,0.32902033,0.00458433,0.01975932,0.00048815,0.00038203,0.0059851,0.00286521,0.10720887,0.00394762,0.00063671,35.5555556,87.0924214,0.13498623,1.04621072,0.15151515,5246.19109
euripides.helen.tess,drama,0.00238031,0.00294781,0.0010404,0.00168671,0.0229992,0.0087646,0.00189164,0.00180478,0.28292683,0.0054227,0.01729275,0.00075666,0.00085124,0.00379904,0.00338919,0.0902439,0.00340495,0.00047291,31.4242424,77.3621951,0.18027211,1.07804878,0.19897959,5034.23101
euripides.heracleidae.tess,drama,0.00271111,0.00509887,0.00087054,0.00318368,0.02596692,0.01935083,0.00216391,0.00203354,0.22737819,0.00567094,0.02402686,0.00104465,0.00042283,0.00345728,0.00385524,0.10672854,0.00194006,0.00044771,35.3333333,93.2830626,0.10843373,1.36890951,0.11144578,4372.00804
euripides.heracles.tess,drama,0.00290276,0.00247702,0.00083212,0.00222545,0.02391872,0.00839865,0.00147073,0.0014652,0.26436782,0.00394775,0.01604257,0.00067731,0.00032898,0.002806,0.00373488,0.08702791,0.00359942,0.00058055,38.7592593,84.8522167,0.17857143,1.00328407,0.20758929,5545.35419
euripides.hippolytus.tess,drama,0.00176568,0.0036073,0.00104422,0.00235424,0.021359,0.0116193,0.00229728,0.00199726,0.25891473,0.00470847,0.01953637,0.001329,0.00032276,0.00262004,0.0029428,0.12093023,0.00290482,0.00125306,36.9298246,81.6542636,0.08860759,1.05946792,0.09704641,4023.89442
euripides.ion.tess,drama,0.00308844,0.00391091,0.0006714,0.00218205,0.02259261,0.00768753,0.0024674,0.00231976,0.27666667,0.0036927,0.0171207,0.00080568,0.00015107,0.00292059,0.00265203,0.09111111,0.00367592,0.00010071,31.6076923,66.1644444,0.15064103,0.85681024,0.16826923,3915.90185
euripides.iphigenia_aulis.tess,drama,0.00216232,0.00293812,0.00097387,0.00219534,0.02343892,0.0099863,0.00194774,0.0016853,0.22979798,0.00363138,0.02211842,0.00125448,0.00014856,0.00170015,0.00272354,0.07449495,0.0034168,0.0007923,31.7317073,76.4936869,0.15081967,1.0479798,0.17377049,4499.05299
euripides.iphigenia_tauris.tess,drama,0.00166557,0.00441101,0.00047588,0.0018303,0.02095688,0.01089026,0.00278205,0.00288669,0.25792507,0.00285526,0.01855919,0.00098836,0.00016473,0.0012446,0.00336774,0.08645533,0.00378871,0.00043927,35.0175439,78.7262248,0.1631068,0.96829971,0.2,5152.42361
euripides.medea.tess,drama,0.00208888,0.00461854,0.0014373,0.00243384,0.02853529,0.01140262,0.0022422,0.00238994,0.21503497,0.00498266,0.02035224,0.0010157,0.00017248,0.00494433,0.00458021,0.08041958,0.00344953,0.00045994,36.7101449,91.2255245,0.125,1.18531469,0.13839286,4700.48236
euripides.orestes.tess,drama,0.00233186,0.00309892,0.00096649,0.00240857,0.02087936,0.01073883,0.00199435,0.00187527,0.22869955,0.00423417,0.01922251,0.00081308,0.00041421,0.00319097,0.00289948,0.08408072,0.0033137,0.00055228,30.9459459,73.0762332,0.14825581,0.90470852,0.19040698,4197.52558
euripides.phoenissae.tess,drama,0.00172722,0.00423398,0.00042798,0.00162023,0.02266787,0.0111123,0.00166608,0.00176038,0.2403599,0.00379072,0.01410819,0.00097825,0.00068783,0.00395885,0.00282775,0.09897172,0.00330159,0.00110053,38.6875,84.0912596,0.16440678,0.94601542,0.19491525,5565.56365
euripides.rhesus.tess,drama,0.00227974,0.00375323,0.00097306,0.00150129,0.02274181,0.0080903,0.00233534,0.0019322,0.26898048,0.00355862,0.01865495,0.00016681,0.00025022,0.00186272,0.00422586,0.03687636,0.00250215,0.00066724,42.9782609,78.0238612,0.10089021,0.90455531,0.11869436,4067.32047
euripides.suppliants.tess,drama,0.00261458,0.005899,0.00041055,0.00229046,0.02232114,0.01354826,0.00179347,0.00185543,0.25048544,0.00492664,0.01307288,0.00023769,0,0.00280905,0.00229046,0.06019417,0.00304674,0.00064824,39.1170213,89.8621359,0.17357513,1.19805825,0.20725389,5393.8509
euripides.trojan_women.tess,drama,0.00217953,0.00537475,0.00110034,0.00167167,0.02245123,0.0075966,0.00093106,0.00077388,0.19920319,0.00423209,0.01485463,0.00099454,0.00057133,0.00300478,0.00287782,0.12151394,0.00317407,0.00012696,40.6941176,94.1394422,0.15920398,1.06972112,0.18656716,5657.87299
homer.iliad.part.1.tess,epic,0.00415599,0.00533352,0.00249359,0.00290919,0.03975895,0.00238969,0.00200873,0.00204583,0.12037037,0.00664958,0.01243333,0.00090046,0,0.00152386,0.00678811,0.03703704,0.0006234,0,43.0444444,267.351852,0.55789474,5.26851852,0.92631579,25306.2651
homer.iliad.part.10.tess,epic,0.00364252,0.00390007,0.00353214,0.002134,0.03513742,0.00327459,0.00224438,0.0023653,0.12426036,0.00500386,0.00864638,0.00058869,0,0.00095662,0.00621804,0.04142012,0.00121417,0,41.5915493,160.822485,0.37162162,2.61538462,0.4527027,7905.89748
homer.iliad.part.11.tess,epic,0.00355701,0.00552472,0.0024218,0.00153885,0.03294652,0.00141271,0.00100908,0.00096109,0.05286344,0.00665994,0.00481837,0.00015136,0,0.00110999,0.00491927,0.02643172,0.00166498,0,46.2735043,174.625551,0.38139535,2.98237885,0.53488372,9970.58666
homer.iliad.part.12.tess,epic,0.00377376,0.00613804,0.00209148,0.00240975,0.03805583,0.00190961,0.00095481,0.00097236,0.03092784,0.0050923,0.00313722,0.00095481,0,0.00050014,0.00463763,0.03092784,0.00081841,0,50.32,226.742268,0.5,3.68041237,0.79787234,24941.9645
homer.iliad.part.13.tess,epic,0.00390465,0.00523173,0.00102082,0.0014802,0.03623928,0.00102082,0.00222029,0.00221168,0.05076142,0.00469579,0.00410882,0.0001276,0,0.00199061,0.00390465,0.01015228,0.00084218,0,48.122449,198.903553,0.45989305,3.27411168,0.77005348,17414.4425
homer.iliad.part.14.tess,epic,0.00340778,0.0066924,0.00229923,0.00151913,0.03370833,0.00172442,0.00176548,0.00164445,0.06617647,0.00525538,0.00730826,0.00110856,0,0.00295615,0.00665134,0.01470588,0.00147808,0,43.1851852,179.088235,0.46456693,3.27941176,0.62992126,10976.2275
homer.iliad.part.15.tess,epic,0.00418614,0.00599249,0.00243714,0.00172033,0.03945293,0.00117556,0.00163431,0.00142269,0.0923913,0.00573444,0.00447286,0.00014336,0,0.00197838,0.00441552,0.02173913,0.00137627,0,45.3703704,189.548913,0.4491018,3.29891304,0.73053892,14088.802
homer.iliad.part.16.tess,epic,0.00207623,0.00590736,0.00197736,0.00173019,0.03499926,0.00081566,0.0011617,0.00115128,0.04910714,0.00504227,0.00541302,0.00024717,0,0.00098868,0.00553661,0.01339286,0.00170547,0,47.3050847,180.616071,0.40375587,3.15178571,0.5399061,14701.2365
homer.iliad.part.17.tess,epic,0.00240086,0.00773924,0.00067789,0.00194893,0.03931759,0.00121455,0.00203367,0.00212948,0.05847953,0.00418032,0.00466049,0.0006214,0,0.00129929,0.004604,0.02923977,0.00076263,0,46.961165,207.040936,0.45962733,3.73099415,0.62111801,17169.7586
homer.iliad.part.18.tess,epic,0.00333356,0.00513925,0.00361136,0.00118064,0.03458574,0.00097229,0.00187513,0.00177502,0.06586826,0.00777832,0.00722272,0.00034725,0,0.00100701,0.00666713,0,0.00114591,0,40.7065217,172.443114,0.3974359,3.38323353,0.55128205,8236.29467
homer.iliad.part.19.tess,epic,0.00390449,0.00515593,0.00160184,0.00175201,0.03909496,0.00270311,0.00240276,0.00206334,0.05084746,0.00700806,0.00845973,0.00150173,0,0.00110127,0.00515593,0.01694915,0.00150173,0,46.3103448,169.29661,0.375,2.97457627,0.50892857,8790.54762
homer.iliad.part.2.tess,epic,0.00352052,0.00416512,0.00059502,0.00146275,0.03842816,0.0012892,0.0012892,0.00124381,0.02923977,0.0048593,0.00446263,0.00039668,0,0.00141316,0.00361969,0.02923977,0.0009669,0,50.2173913,235.877193,0.56626506,4.07017544,1.07228916,24774.096
homer.iliad.part.20.tess,epic,0.00276443,0.00455067,0.00340237,0.00165866,0.03717093,0.00280696,0.0015736,0.00159091,0.07633588,0.00612427,0.00599668,0.00089312,0,0.00267937,0.00620933,0,0.00089312,0,43.4216867,179.48855,0.41322314,3.05343511,0.65289256,11872.5705
homer.iliad.part.21.tess,epic,0.00261333,0.00536604,0.00083627,0.00149831,0.03874699,0.00209067,0.00135893,0.00131441,0.08965517,0.0050176,0.00846719,0.0009408,0,0.00038329,0.00623715,0.0137931,0.00198613,0,41.9322034,197.924138,0.53030303,3.39310345,0.84090909,11934.4149
homer.iliad.part.22.tess,epic,0.00368195,0.00517127,0.00053781,0.0027718,0.03557836,0.00384743,0.00202714,0.00204793,0.04958678,0.00496442,0.01154228,0.00062055,0,0.00260632,0.00715704,0.01652893,0.00186166,0,43.7529412,199.768595,0.46086957,3.76033058,0.72173913,13366.525
homer.iliad.part.23.tess,epic,0.00367813,0.00735626,0.00322726,0.00142379,0.03666263,0.00234926,0.00099665,0.00096404,0.0210084,0.00626468,0.00616976,0.00083055,0,0.0027052,0.00405781,0.01680672,0.00142379,0,39.5193798,177.063025,0.39914163,3.29411765,0.55364807,11869.3364
homer.iliad.part.24.tess,epic,0.00433503,0.0072776,0.00391467,0.00152383,0.0401713,0.0018391,0.00212811,0.00217349,0.06018519,0.00641059,0.00993116,0.00081446,0,0.00152383,0.00675214,0.02314815,0.00086701,0,42.7565217,176.212963,0.39901478,3.41666667,0.54679803,11278.9361
homer.iliad.part.3.tess,epic,0.00534138,0.0051556,0.00260102,0.00167209,0.03901533,0.00222945,0.00171853,0.00179882,0.05102041,0.00557362,0.00608453,0.00051092,0,0,0.00478402,0.02040816,0.00125406,0,49.5833333,219.693878,0.44086022,3.92857143,0.6344086,16161.6002
homer.iliad.part.4.tess,epic,0.00459297,0.00356351,0.00158378,0.0014254,0.04003009,0.00162338,0.00174216,0.00181863,0.0546875,0.00681026,0.00716661,0.00047513,0,0.00178175,0.00455337,0.03125,0.00190054,0,47.7571429,197.3125,0.41322314,3.359375,0.56198347,11596.2773
homer.iliad.part.5.tess,epic,0.00250834,0.00511134,0.00170378,0.00191675,0.03329468,0.00210606,0.00137249,0.0013509,0.0657277,0.0064365,0.00593956,0.00011832,0,0.00073357,0.00418846,0.01408451,0.00099387,0,46.9097222,198.399061,0.44221106,3.43661972,0.67336683,11185.4699
homer.iliad.part.6.tess,epic,0.00392792,0.00562867,0.00291557,0.00101235,0.03859081,0.00299656,0.00198421,0.00211938,0.06504065,0.00469731,0.00817979,0,0,0.00263211,0.00692448,0.02439024,0.00109334,0,46.702381,200.772358,0.46956522,3.24390244,0.71304348,16924.2734
homer.iliad.part.7.tess,epic,0.00378974,0.00811449,0.00249677,0.00156048,0.03504392,0.0036114,0.00280886,0.0027406,0.04201681,0.00606358,0.00735655,0.00066878,0,0.0008917,0.00508271,0.00840336,0.00107004,0,41.8607595,188.478992,0.47368421,3.30252101,0.68421053,11882.7706
homer.iliad.part.8.tess,epic,0.0018815,0.00683485,0.00122874,0.0020351,0.03839803,0.00176631,0.00184311,0.00192872,0.06164384,0.00675805,0.00537572,0.00038398,0,0.00211189,0.00410859,0.01369863,0.00149752,0,43.7638889,178.376712,0.35766423,3.37671233,0.50364964,12975.6732
homer.iliad.part.9.tess,epic,0.00477644,0.00637867,0.00072554,0.00256961,0.04117416,0.00244868,0.00169292,0.00169194,0.04395604,0.00652982,0.0117295,0.000786,0,0.00229753,0.00798089,0.02197802,0.00154176,0,43.9051724,181.752747,0.45977011,3.45604396,0.65517241,17017.0103
homer.odyssey.part.1.tess,epic,0.00450602,0.00603998,0.00445808,0.00244475,0.0280907,0.0058003,0.00172571,0.00183393,0.1119403,0.00690283,0.00867648,0.00182158,0,0.00143809,0.00699871,0.01492537,0.00071905,0,33.7346939,155.679104,0.33050847,2.60447761,0.39830508,10730.3522
homer.odyssey.part.10.tess,epic,0.00482593,0.00810462,0.00125253,0.00117885,0.03739178,0.00243139,0.00232087,0.00247564,0.06629834,0.00618899,0.01101492,0.00073678,0,0.00106834,0.00696261,0.03867403,0.00132621,0,40.972973,149.972376,0.17159763,2.63535912,0.21301775,7287.15393
homer.odyssey.part.11.tess,epic,0.00435657,0.00522788,0.00100536,0.00144102,0.03873995,0.00298257,0.00174263,0.0018918,0.0877193,0.00576408,0.01303619,0.00090483,0,0.00144102,0.00465818,0.02923977,0.00040214,0,40.1014493,174.502924,0.35294118,3.04093567,0.44444444,8113.57163
homer.odyssey.part.12.tess,epic,0.00358761,0.00760008,0.00339879,0.00254909,0.0382364,0.00278512,0.00226586,0.00228365,0.01428571,0.00736405,0.012179,0.00070808,0,0.00287953,0.00708082,0.02142857,0.00056647,0,39.0357143,151.314286,0.19565217,2.94285714,0.20289855,5623.27265
homer.odyssey.part.13.tess,epic,0.00392024,0.0073565,0.00387184,0.00130675,0.03779886,0.00329107,0.00222631,0.00186765,0.05645161,0.00580776,0.01137354,0.00290388,0,0.00169393,0.00629174,0.03225806,0.00101636,0,38.4594595,166.629032,0.24347826,2.9516129,0.31304348,12866.0398
homer.odyssey.part.14.tess,epic,0.00566606,0.00923211,0.00305095,0.00166416,0.04100959,0.00301133,0.00221888,0.00227716,0.04054054,0.00681512,0.01295665,0.00130755,0,0,0.00558681,0.05405405,0.00130755,0,35.9183673,170.527027,0.24647887,2.82432432,0.33802817,10031.2628
homer.odyssey.part.15.tess,epic,0.00380807,0.00639756,0.0033511,0.00110434,0.03948972,0.00350343,0.00163747,0.0017052,0.03529412,0.0053313,0.01150038,0.00060929,0,0.00087586,0.00555979,0.01176471,0.00148515,0,34.7708333,154.470588,0.22839506,2.76923077,0.27160494,6570.33149
homer.odyssey.part.16.tess,epic,0.00530481,0.00764776,0.00212192,0.00203351,0.03700102,0.0045975,0.00229875,0.00227389,0.07042254,0.00442067,0.0125105,0.00119358,0,0.00048627,0.00534901,0.04225352,0.00079572,0,35.7096774,159.302817,0.18320611,2.85915493,0.22900763,8762.68999
homer.odyssey.part.17.tess,epic,0.0040428,0.00735371,0.00250932,0.00254417,0.03300457,0.00616875,0.00191684,0.00180343,0.04519774,0.00473983,0.01059492,0.00115011,0,0.00080159,0.00623846,0.02824859,0.00146377,0,33.7446809,162.107345,0.22619048,2.79661017,0.26190476,8291.86983
homer.odyssey.part.18.tess,epic,0.00434697,0.00276625,0.00039518,0.0017783,0.03601067,0.0037048,0.00281565,0.00279259,0.03076923,0.00513732,0.00839755,0.00202529,0,0,0.00602648,0.03846154,0.00059277,0,36.53125,155.723077,0.24193548,2.74615385,0.25806452,7636.58485
homer.odyssey.part.19.tess,epic,0.00371148,0.00815826,0.00168067,0.00147059,0.03364846,0.00318627,0.0022409,0.00224175,0.05487805,0.00644258,0.01172969,0.00056022,0,0,0.00612745,0.05487805,0.00189076,0,35.8627451,174.146341,0.24675325,2.81707317,0.33116883,9556.02736
homer.odyssey.part.2.tess,epic,0.00559012,0.00879837,0.00272215,0.00262493,0.03509625,0.00602761,0.00267354,0.00266761,0.05755396,0.00486098,0.01054832,0.00024305,0,0.0004861,0.00724285,0.01438849,0.00087498,0,32.5,148,0.27480916,2.82014388,0.39694656,9406.11511
